Country Name	Country Code	Indicator Name	Indicator Code	2017.00	2018.00	2019.00	2020.00	2021.00
Lao PDR	LAO	GDP (current US$)	NY.GDP.MKTP.CD	17071162084.41	18141651381.39	18740559554.16	18981800705.08	18827148530.02
Lebanon	LBN	GDP (current US$)	NY.GDP.MKTP.CD	53027680685.84	54901519155.62	51605959131.34	25948915861.20	18076624840.18
Liberia	LBR	GDP (current US$)	NY.GDP.MKTP.CD	3390703400.00	3422754800.00	3319596500.00	3039982540.00	3486741370.00
Libya	LBY	GDP (current US$)	NY.GDP.MKTP.CD	67158415841.58	76684175824.18	69252306372.02	52320215472.09	41879579677.17
St. Lucia	LCA	GDP (current US$)	NY.GDP.MKTP.CD	1996771440.74	2065127262.96	2118791548.15	1616772748.15	1764901133.33
Latin America & Caribbean	LCN	GDP (current US$)	NY.GDP.MKTP.CD	5830760733039.75	5701842678618.32	5623606841400.31	4743154434209.72	5488720386464.90
Least developed countries: UN classification	LDC	GDP (current US$)	NY.GDP.MKTP.CD	1103873572550.27	1087620246478.49	1142304121430.50	1162000059176.75	1272906946634.44
Low income	LIC	GDP (current US$)	NY.GDP.MKTP.CD	527246970766.45	453567578538.20	479642679708.75	481025300269.27	526277736196.32
Liechtenstein	LIE	GDP (current US$)	NY.GDP.MKTP.CD	6474256118.61	6692504346.05	6427248943.45		
Sri Lanka	LKA	GDP (current US$)	NY.GDP.MKTP.CD	87428128123.72	87963042340.77	83902574442.80	80969683537.45	84518830392.62
Lower middle income	LMC	GDP (current US$)	NY.GDP.MKTP.CD	7396385303040.09	7541059240415.66	7894761632394.70	7585548465069.87	8683293482839.04
Low & middle income	LMY	GDP (current US$)	NY.GDP.MKTP.CD	29564640715524.30	31299342895042.80	32061336323529.70	30913851917481.40	36315909953199.60
Lesotho	LSO	GDP (current US$)	NY.GDP.MKTP.CD	2306185361.15	2514146887.92	2451257578.69	2250717718.47	2518468891.04
Late-demographic dividend	LTE	GDP (current US$)	NY.GDP.MKTP.CD	20609641582561.20	22593028676199.40	23026354774547.30	22470885208733.40	26594255163051.90
Lithuania	LTU	GDP (current US$)	NY.GDP.MKTP.CD	47758736931.78	53750911865.69	54697379017.33	56546957475.49	65503849704.60
Luxembourg	LUX	GDP (current US$)	NY.GDP.MKTP.CD	65712180342.98	71285019397.41	70195715495.51	73353132793.71	86710803337.10
Latvia	LVA	GDP (current US$)	NY.GDP.MKTP.CD	30483806017.83	34429023435.02	34308783825.30	33645460617.24	38872546228.57
"Macao SAR, China"	MAC	GDP (current US$)	NY.GDP.MKTP.CD	50440941938.70	55284360483.12	55204758069.51	25586111076.34	29905190181.75
St. Martin (French part)	MAF	GDP (current US$)	NY.GDP.MKTP.CD					
Morocco	MAR	GDP (current US$)	NY.GDP.MKTP.CD	109682728023.11	118096227400.09	119870439113.66	114725065285.15	132725261467.43
Monaco	MCO	GDP (current US$)	NY.GDP.MKTP.CD	6431314957.07	7194024563.06	7383745662.15	6816219303.26	
Moldova	MDA	GDP (current US$)	NY.GDP.MKTP.CD	9669741744.22	11457443185.05	11971345002.78	11859730543.55	13679221333.21
Madagascar	MDG	GDP (current US$)	NY.GDP.MKTP.CD	13176313593.55	13614412550.88	14191911512.05	13225591803.62	14637400395.69
Maldives	MDV	GDP (current US$)	NY.GDP.MKTP.CD	4754175869.24	5300962659.51	5607762625.15	3742769967.43	4889666931.64
Middle East & North Africa	MEA	GDP (current US$)	NY.GDP.MKTP.CD	3296304700286.03	3459086397885.49	3465217350186.81	3106899915587.77	3636731834007.36
Mexico	MEX	GDP (current US$)	NY.GDP.MKTP.CD	1158913035796.37	1222408203104.30	1269404276770.70	1087117783073.31	1293037866360.17
Marshall Islands	MHL	GDP (current US$)	NY.GDP.MKTP.CD	213204100.00	221588900.00	239462200.00	244462400.00	248665600.00
Middle income	MIC	GDP (current US$)	NY.GDP.MKTP.CD	29040121195033.70	30844577555857.30	31581053756606.80	30433799984879.00	35785944374024.40
North Macedonia	MKD	GDP (current US$)	NY.GDP.MKTP.CD	11307058382.34	12683070061.47	12606338448.55	12116981815.23	13879269151.57
Mali	MLI	GDP (current US$)	NY.GDP.MKTP.CD	15365713059.11	17070867577.67	17280250805.22	17465392779.04	19143741503.15
Malta	MLT	GDP (current US$)	NY.GDP.MKTP.CD	13505056441.52	15301279478.21	15719500920.54	14917038504.29	17189730469.56
